nation,player,position,club,league,nat_matches,nat_minutes,nat_xg_per_90,nat_shots_per_90,nat_key_passes_per_90,nat_prog_passes_per_90,nat_prog_carries_per_90,nat_pressures_per_90,club_minutes_2425,club_xg_per_90,club_xa_per_90,blended_xg90,found_in_understat,low_confidence
Cameroon,Devis Rogers Epassy Mboka,,,,2,194,0.0,0.0,38.97,30.62,1.86,0.0,0,,,0.0,False,False
Cameroon,Nouhou Tolo,,,,3,281,0.0,0.0,33.95,12.49,2.24,12.17,0,,,0.0,False,False
Canada,Jonathan David,F S,Lille,Ligue_1,9,717,0.4665,2.26,24.35,7.03,2.51,18.45,2535,0.6907,0.167,0.601,True,False
Canada,Tanitoluwa Oluwaseyi,,,,5,140,1.1202,5.79,18.64,2.57,2.57,16.07,0,,,0.3622,False,True
Canada,Jonathan Osorio,F M S,Marseille,Ligue_1,9,454,0.1415,0.59,42.62,9.32,2.18,19.82,745,0.4882,0.5134,0.3495,True,False
Canada,Cyle Larin,F S,Mallorca,La_liga,8,541,0.1467,1.66,17.47,3.66,2.16,13.14,1781,0.3661,0.0799,0.2783,True,False
Canada,Thelonius Bair,F S,Auxerre,Ligue_1,1,14,0.0,0.0,19.29,0.0,6.43,25.71,912,0.3135,0.1059,0.2465,True,True
Canada,Tajon Buchanan,M S,Villarreal,La_liga,6,371,0.244,1.7,26.93,8.73,7.52,14.31,403,0.2182,0.172,0.2285,True,False
Canada,Mathieu Choiniere,,,,2,149,0.4733,0.6,44.7,12.68,4.23,12.68,0,,,0.2242,False,True
Canada,Stephen Antunes Eustáquio,,,,7,607,0.2004,1.04,55.45,17.94,0.89,17.2,0,,,0.2004,False,False
Canada,Alphonso Davies,D S,Bayern Munich,Bundesliga,9,828,0.3132,1.3,36.09,10.22,6.2,11.3,1563,0.1081,0.1079,0.1901,True,False
Canada,Ismael Koné,M S,"Marseille,Rennes",Ligue_1,8,518,0.3525,1.22,50.73,17.03,7.12,10.25,803,0.0493,0.2055,0.1706,True,False
Canada,Liam Millar,M S,Getafe,La_liga,7,294,0.2944,1.84,27.86,7.96,7.04,21.12,2887,0.0578,0.1326,0.1524,True,False
Canada,Jacen Russell-Rowe,,,,1,7,0.0,0.0,25.71,0.0,0.0,0.0,0,,,0.1479,False,True
Canada,David Wotherspoon,,,,1,13,0.0,0.0,41.54,27.69,0.0,6.92,0,,,0.1462,False,True
Canada,Luc Rollet De Fougerolles,,,,1,67,0.0822,1.34,21.49,6.72,1.34,13.43,0,,,0.142,False,True
Canada,Mark Anthony Kaye,,,,1,58,0.0603,1.55,88.45,13.97,3.1,20.17,0,,,0.1407,False,True
Canada,Atiba Hutchinson,,,,3,160,0.0749,1.12,63.0,20.81,3.94,9.0,0,,,0.1318,False,True
Canada,David Junior Hoilett,,,,3,167,0.0642,2.16,29.64,10.78,6.47,9.7,0,,,0.1285,False,True
Canada,Ali Ahmed,,,,3,134,0.0443,0.67,35.6,12.09,3.36,17.46,0,,,0.1277,False,True
Canada,Sam Adekugbe,,,,3,107,0.0,0.0,60.56,17.66,4.21,14.3,0,,,0.1236,False,True
Canada,Dayne Tristan St. Clair,,,,1,127,0.0,0.0,17.72,13.46,0.71,0.0,0,,,0.1196,False,True
Canada,Moise Bombito,D S,Nice,Ligue_1,6,629,0.2428,0.72,39.63,17.31,2.86,6.3,2197,0.0273,0.004,0.1135,True,False
Canada,Lucas Daniel Cavallini,D S,Montpellier,Ligue_1,1,23,0.0,0.0,11.74,0.0,0.0,19.57,716,0.0764,0.0947,0.1032,True,True
Canada,Jacob Shaffelburg,,,,6,355,0.0865,1.27,24.08,6.08,5.58,20.79,0,,,0.0865,False,False
Canada,Alistair Johnston,,,,9,811,0.0759,0.33,52.71,22.64,3.88,17.42,0,,,0.0759,False,False
Canada,Derek Cornelius,D S,Marseille,Ligue_1,6,454,0.0084,0.2,36.08,19.03,1.78,7.33,1439,0.0782,0.0076,0.0503,True,False
Canada,Richie Laryea,,,,9,531,0.0339,1.02,23.22,7.29,3.9,16.1,0,,,0.0339,False,False
Canada,Kamal Miller,,,,5,337,0.0,0.0,61.42,31.51,2.94,5.61,0,,,0.0,False,False
Canada,Maxime Crépeau,,,,5,481,0.0,0.0,27.51,20.02,1.12,0.19,0,,,0.0,False,False
Canada,Milan Borjan,,,,3,282,0.0,0.0,30.64,22.98,0.64,0.0,0,,,0.0,False,False
Canada,Steven de Sousa Vitoria,,,,3,283,0.0,0.0,58.2,23.85,2.54,7.0,0,,,0.0,False,False
Chile,Thomas Ignacio Galdames Millán,F M S,Bayern Munich,Bundesliga,1,66,0.0,0.0,34.09,20.45,1.36,10.91,1205,0.3303,0.3058,0.2512,True,True
Chile,Alexis Alejandro Sánchez Sánchez,F S,Udinese,Serie_A,3,255,0.2266,1.41,32.82,10.59,2.47,17.29,435,0.2547,0.021,0.2435,True,False
Chile,Ben Brereton Díaz,F M S,Southampton,EPL,3,49,0.1452,3.67,16.53,7.35,0.0,18.37,438,0.2694,0.032,0.2215,True,True
Chile,César Ignacio Pérez Maldonado,,,,1,13,0.188,6.92,27.69,0.0,6.92,34.62,0,,,0.151,False,True
Chile,Rodrigo Eduardo Echeverría Sáez,,,,3,188,0.1458,1.91,31.6,11.01,2.87,25.37,0,,,0.1458,False,False
Chile,Marcelino Ignacio Nuñez Espinoza,,,,3,142,0.0498,1.9,39.3,13.94,3.8,20.28,0,,,0.1278,False,True
Chile,Gabriel Arias Arroyo,,,,1,93,0.0,0.0,42.58,29.03,2.9,0.0,0,,,0.1265,False,True
Chile,Guillermo Alfonso Maripán Loaysa,,,,1,93,0.0,0.0,43.55,13.55,0.0,6.77,0,,,0.1265,False,True
Chile,Marcos Nikolas Bolados Hidalgo,,,,3,108,0.0,0.0,19.17,2.5,4.17,19.17,0,,,0.1234,False,True
Chile,Darío Esteban Osorio Osorio,,,,3,170,0.0124,0.53,23.29,6.88,3.71,19.59,0,,,0.1151,False,True
Chile,Víctor Alejandro Dávila Zavala,,,,3,234,0.1031,1.92,23.08,5.77,1.92,15.0,0,,,0.1031,False,False
Chile,Igor Lichnovsky Osorio,,,,3,283,0.0594,0.64,51.2,21.94,6.04,7.63,0,,,0.0594,False,False
Chile,Nicolás Esteban Fernández Muñoz,GK,Borussia M.Gladbach,Bundesliga,1,9,0.0,0.0,60.0,0.0,0.0,30.0,1639,0.0,0.0,0.0589,True,True
Chile,Diego Alfonso Valdés Contreras,GK,Villarreal,La_liga,1,46,0.0,0.0,39.13,5.87,3.91,13.7,1965,0.0,0.0185,0.0549,True,True
Chile,Mauricio Aníbal Isla Isla,D S,Lazio,Serie_A,3,274,0.0,0.0,53.87,22.99,3.61,7.23,2740,0.0315,0.0236,0.0189,True,False
Chile,Claudio Andrés Bravo Muñoz,,,,2,185,0.0,0.0,37.95,28.22,2.43,0.0,0,,,0.0,False,False
Chile,Eduardo Jesús Vargas Rojas,,,,3,196,0.0,0.0,18.83,3.67,1.84,22.04,0,,,0.0,False,False
Chile,Erick Antonio Pulgar Farfán,,,,3,224,0.0,0.0,39.78,12.86,2.41,17.28,0,,,0.0,False,False
Chile,Gabriel Alonso Suazo Urbina,,,,3,205,0.0,0.0,62.34,25.46,3.07,16.68,0,,,0.0,False,False
Chile,Paulo César Díaz Huincales,,,,2,189,0.0,0.0,62.38,27.14,5.24,7.14,0,,,0.0,False,False
Colombia,Andrés Mateus Uribe Villa,F S,"RasenBallsport Leipzig,Werder Bremen",Bundesliga,6,231,0.2956,1.17,39.74,7.79,0.0,17.14,493,0.6864,0.2021,0.5301,True,False
Colombia,Jhon Andrés Córdoba Copete,,,,6,423,0.291,2.34,13.4,2.55,1.7,15.74,0,,,0.291,False,False
Colombia,Miguel Ángel Borja Hernández,,,,2,36,2.107,5.0,10.0,0.0,2.5,7.5,0,,,0.2814,False,True
Colombia,Daniel Muñoz Mejía,F S,Venezia,Serie_A,5,394,0.1384,0.91,46.6,13.71,3.65,13.71,495,0.3496,0.0633,0.2651,True,False
Colombia,Luis Fernando Díaz Marulanda,,,,6,511,0.2522,1.59,23.42,4.05,5.99,12.15,0,,,0.2522,False,False
Colombia,James David Rodríguez Rubio,,,,6,471,0.2126,1.53,58.28,21.59,1.72,10.7,0,,,0.2126,False,False
Colombia,Santiago Arias Naranjo,F S,Bologna,Serie_A,3,180,0.011,0.5,33.0,10.0,2.0,10.5,2313,0.3321,0.1219,0.2037,True,False
Colombia,Davinson Sánchez Mina,,,,6,579,0.201,1.09,53.63,25.65,4.51,6.37,0,,,0.201,False,False
Colombia,Yaser Esneider Asprilla Martínez,,,,1,18,1.0911,10.0,60.0,15.0,20.0,20.0,0,,,0.1827,False,True
Colombia,Rafael Santos Borré Amaury,,,,4,134,0.2051,0.67,16.12,0.67,0.67,28.21,0,,,0.1616,False,True
Colombia,Kevin Duvan Castaño Gil,,,,4,90,0.1773,2.0,54.0,13.0,2.0,19.0,0,,,0.1542,False,True
Colombia,Jhon Jáder Durán Palacio,,,,1,13,0.0,0.0,48.46,6.92,6.92,0.0,0,,,0.1462,False,True
Colombia,Jorge Andrés Carrascal Guardo,,,,3,50,0.1043,1.8,59.4,30.6,5.4,25.2,0,,,0.1458,False,True
Colombia,Jhon Janer Lucumí Bonilla,,,,1,24,0.0,0.0,71.25,26.25,15.0,11.25,0,,,0.1431,False,True
Colombia,Juan Fernando Quintero Paniagua,,,,3,51,0.0395,1.76,82.94,22.94,8.82,8.82,0,,,0.1398,False,True
Colombia,Luis Fernando Sinisterra Lucumí,,,,3,37,0.0,0.0,53.51,4.86,4.86,31.62,0,,,0.1397,False,True
Colombia,Deiver Andrés Machado Mena,,,,1,47,0.0,0.0,61.28,17.23,3.83,11.49,0,,,0.1371,False,True
Colombia,Yerry Fernando Mina González,D S,Leganes,La_liga,2,83,0.0,0.0,50.96,23.86,3.25,6.51,2966,0.0594,0.0175,0.0871,True,True
Colombia,Jefferson Andrés Lerma Solís,,,,5,437,0.0678,1.65,47.37,17.09,3.09,9.68,0,,,0.0678,False,False
Colombia,Carlos Eccehomo Cuesta Figueroa,,,,5,494,0.0583,0.55,45.0,16.94,1.64,8.56,0,,,0.0583,False,False
Colombia,Richard Rios Montoya,,,,6,457,0.0459,1.58,36.83,7.68,4.33,19.89,0,,,0.0459,False,False
Colombia,Jhon Adolfo Arias Andrade,,,,6,495,0.038,1.27,41.45,6.91,4.18,18.55,0,,,0.038,False,False
Colombia,Camilo Andrés Vargas Gil,M S,FK Akhmat,RFPL,6,587,0.0,0.0,32.81,24.38,1.23,0.15,1363,0.0172,0.0283,0.0103,True,False
Colombia,Johan Andrés Mojica Palacio,,,,6,537,0.0103,0.17,54.8,18.44,5.03,9.05,0,,,0.0103,False,False
Costa Rica,Manfred Ugalde,F S,Spartak Moscow,RFPL,2,110,0.0,0.0,4.09,2.45,1.64,27.0,2180,0.4853,0.1436,0.3404,True,True
Costa Rica,Alvaro José Zamora Mata,F M S,AC Milan,Serie_A,1,34,0.0,0.0,13.24,2.65,0.0,15.88,1110,0.3906,0.0778,0.2905,True,True
Costa Rica,Álvaro José Zamora Mata,F M S,AC Milan,Serie_A,3,160,0.0114,0.56,23.62,2.25,4.5,23.62,1110,0.3906,0.0778,0.2809,True,True
Costa Rica,Daniel Alonso Chacón Salas,F S,Venezia,Serie_A,1,2,0.0,0.0,45.0,0.0,0.0,0.0,495,0.3496,0.0633,0.2695,True,True
Costa Rica,Yeltsin Ignacio Tejeda Valverde,,,,3,277,0.1696,0.65,31.84,10.72,0.65,12.67,0,,,0.1696,False,False
Costa Rica,Julio César Cascante Solórzano,,,,1,4,0.0,0.0,67.5,22.5,0.0,0.0,0,,,0.1488,False,True
Costa Rica,Andy Rojas Maroto,,,,1,6,0.0,0.0,45.0,0.0,0.0,60.0,0,,,0.1482,False,True
Costa Rica,Roan Roberto Wilson Gordon,,,,1,8,0.0,0.0,67.5,0.0,11.25,33.75,0,,,0.1476,False,True
Costa Rica,Bryan Ruiz González,,,,1,37,0.0,0.0,31.62,9.73,2.43,7.3,0,,,0.1397,False,True
Costa Rica,Ronald Alberto Matarrita Ulate,,,,2,39,0.0,0.0,66.92,27.69,11.54,16.15,0,,,0.1391,False,True
Costa Rica,Carlos Manuel Martínez Castro,,,,1,43,0.0,0.0,29.3,14.65,0.0,25.12,0,,,0.1381,False,True
Costa Rica,Gerson Torres Barrantes,,,,1,65,0.0187,1.38,23.54,0.0,1.38,22.15,0,,,0.1349,False,True
Costa Rica,Youstin Delfin Salas Gómez,,,,2,58,0.0,0.0,27.93,18.62,1.55,23.28,0,,,0.1344,False,True
Costa Rica,Josimar Alcócer,,,,2,94,0.0395,0.96,10.53,0.96,4.79,27.77,0,,,0.1325,False,True
Costa Rica,Johan Alberto Venegas Ulloa,,,,1,74,0.0,0.0,17.03,2.43,2.43,18.24,0,,,0.1307,False,True
Costa Rica,Jewison Bennette,,,,3,117,0.0291,0.77,11.54,0.77,7.69,30.0,0,,,0.1271,False,True
Costa Rica,Gerald Taylor,,,,2,93,0.0,0.0,11.61,3.87,1.94,25.16,0,,,0.1265,False,True
Costa Rica,Ariel Lassiter,,,,2,135,0.0113,0.67,23.33,6.0,2.67,10.67,0,,,0.1205,False,True
Costa Rica,Anthony Daniel Contreras Enríquez,,,,4,151,0.0,0.0,17.88,1.19,1.19,20.86,0,,,0.1152,False,True
Costa Rica,Haxzel Quirós Cruz,,,,2,178,0.0,0.0,22.25,4.04,2.02,14.66,0,,,0.1106,False,True
Costa Rica,Keysher Fuller Spence,,,,3,258,0.1087,1.05,21.28,7.33,1.4,13.95,0,,,0.1087,False,False
Costa Rica,Joseph Martín Mora Cortéz,D S,Liverpool,EPL,3,132,0.0,0.0,26.59,10.91,0.0,8.86,510,0.0661,0.0142,0.0871,True,True
Costa Rica,Óscar Esau Duarte Gaitán,D S,Newcastle United,EPL,3,276,0.0,0.0,31.63,15.0,0.65,8.8,2938,0.1288,0.012,0.0773,True,False
Costa Rica,Jefferson Brenes Rojas,D M S,Crystal Palace,EPL,3,165,0.0154,0.55,39.82,11.45,1.09,22.36,2274,0.0356,0.0549,0.068,True,True
Costa Rica,Alejandro Jesús Bran Flores,D S,Girona,La_liga,2,47,0.0316,1.91,30.64,11.49,3.83,26.81,1188,0.0121,0.0253,0.0632,True,True
Costa Rica,Patrick Gilmar Sequeira Mejías,D,Holstein Kiel,Bundesliga,3,269,0.0,0.0,25.09,19.74,0.67,0.33,838,0.0891,0.0144,0.0535,True,False
Costa Rica,Orlando Moisés Galo Calderón,D S,Espanyol,La_liga,3,275,0.0182,0.65,22.91,7.2,1.64,18.98,675,0.0756,0.0071,0.0526,True,False
Costa Rica,Francisco Javier Calvo Quesada,,,,5,469,0.047,0.38,41.07,23.22,3.45,10.75,0,,,0.047,False,False
Costa Rica,Juan Pablo Vargas Campos,,,,4,372,0.0446,0.24,30.48,15.73,1.21,8.95,0,,,0.0446,False,False
Costa Rica,Kendall Jamaal Waston Manley,,,,3,234,0.0382,0.38,29.62,11.92,1.15,7.69,0,,,0.0382,False,False
Costa Rica,Warren Steven Madrigal Molina,,,,3,192,0.0302,0.47,15.0,4.22,1.88,21.56,0,,,0.0302,False,False
Costa Rica,Joel Nathaniel Campbell Samuels,,,,6,427,0.0108,0.21,42.58,10.96,2.95,17.7,0,,,0.0108,False,False
Costa Rica,Brandon Aguilera Zamora,,,,6,287,0.0,0.0,31.67,9.09,1.57,18.5,0,,,0.0,False,False
Costa Rica,Bryan Oviedo,,,,3,262,0.0,0.0,30.57,8.93,3.09,8.59,0,,,0.0,False,False
Costa Rica,Celso Borges Mora,,,,3,257,0.0,0.0,39.57,16.46,1.05,11.56,0,,,0.0,False,False
Costa Rica,Jeyland Yahir Mitchell Baltodano,,,,3,275,0.0,0.0,30.76,18.0,0.98,10.15,0,,,0.0,False,False
Costa Rica,Keylor Navas Gamboa,,,,3,287,0.0,0.0,31.67,23.21,1.25,0.31,0,,,0.0,False,False
Croatia,Marko Livaja,,,,6,256,0.6237,2.46,20.04,6.68,0.7,16.88,0,,,0.6237,False,False
Croatia,Mislav Oršić,,,,6,181,0.5269,4.97,27.35,4.97,4.48,14.42,0,,,0.5269,False,False
Croatia,Ante Budimir,F S,Osasuna,La_liga,5,190,0.2931,2.37,9.95,3.32,0.47,27.95,3008,0.6184,0.0562,0.4883,True,False
Croatia,Lovro Majer,M S,Wolfsburg,Bundesliga,10,305,0.517,2.07,58.72,10.62,6.2,19.48,296,0.4305,0.4366,0.4651,True,False
Croatia,Nikola Vlašić,F M S,Torino,Serie_A,6,217,0.9106,2.9,22.81,4.56,4.56,14.1,2127,0.1433,0.1118,0.4502,True,False
Croatia,Andrej Kramarić,F M,Hoffenheim,Bundesliga,10,719,0.2522,1.75,32.92,3.63,3.13,10.26,2800,0.4114,0.1366,0.3477,True,False
Croatia,Bruno Petković,,,,8,342,0.3256,1.32,26.58,6.58,3.16,11.58,0,,,0.3256,False,False
Croatia,Mario Pašalić,M S,Atalanta,Serie_A,10,411,0.2691,1.53,29.56,6.35,2.85,15.99,1973,0.3213,0.1813,0.3004,True,False
Croatia,Luka Sučić,F M S,Real Sociedad,La_liga,3,151,0.1898,1.79,50.07,10.13,8.34,20.86,1804,0.1827,0.171,0.1733,True,True
Croatia,Marcelo Brozović,,,,9,807,0.1668,0.89,79.96,21.86,3.9,17.62,0,,,0.1668,False,False
Croatia,Ivica Ivušić,,,,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0.1497,False,True
Croatia,Luka Modrić,M S,Real Madrid,La_liga,10,909,0.2466,1.19,76.63,27.33,7.03,16.24,1774,0.082,0.4007,0.1478,True,False
Croatia,Luka Ivanušec,,,,1,26,0.0,0.0,38.08,10.38,0.0,6.92,0,,,0.1426,False,True
Croatia,Borna Barišić,,,,1,120,0.0114,0.75,50.25,18.0,3.0,14.25,0,,,0.1232,False,True
Croatia,Martin Baturina,D M S,Girona,La_liga,1,12,0.1361,7.5,22.5,0.0,22.5,30.0,2631,0.0884,0.0658,0.1129,True,True
Croatia,Ivan Perišić,,,,10,822,0.0915,2.19,40.18,9.85,4.82,13.58,0,,,0.0915,False,False
Croatia,Joško Gvardiol,D S,Manchester City,EPL,10,1001,0.0229,0.36,60.24,23.65,6.11,9.8,3277,0.1265,0.0567,0.0851,True,False
Croatia,Mateo Kovačić,M S,Manchester City,EPL,10,881,0.0685,0.92,63.75,16.24,7.76,19.72,2220,0.0732,0.1494,0.0713,True,False
Croatia,Josip Šutalo,,,,4,377,0.0663,0.24,63.74,17.9,2.15,8.12,0,,,0.0663,False,False
Croatia,Josip Stanišić,D S,Bayern Munich,Bundesliga,3,282,0.0841,0.64,58.09,16.28,3.83,11.49,864,0.0453,0.1624,0.0608,True,False
Croatia,Dejan Lovren,,,,6,622,0.0552,0.58,65.69,27.93,6.08,5.35,0,,,0.0552,False,False
Croatia,Josip Juranović,D S,Union Berlin,Bundesliga,8,718,0.0052,0.13,58.79,18.8,4.76,8.4,1160,0.021,0.1811,0.0147,True,False
Croatia,Borna Sosa,D S,Torino,Serie_A,6,454,0.0096,0.4,55.11,20.42,6.15,9.32,1195,0.0161,0.0647,0.0135,True,False
Croatia,Marin Pongracic,D S,Fiorentina,Serie_A,2,190,0.0,0.0,59.21,21.32,8.05,13.74,1380,0.0061,0.029,0.0037,True,False
Croatia,Dominik Livaković,,,,10,988,0.0,0.0,28.97,17.85,0.64,0.18,0,,,0.0,False,False
Czech Republic,Patrik Schick,F M S,Bayer Leverkusen,Bundesliga,3,130,0.8262,4.85,24.23,6.23,2.08,17.31,1675,0.7419,0.048,0.561,True,True
Czech Republic,Lukáš Červ,M S,Bochum,Bundesliga,1,1,0.0,0.0,0.0,0.0,0.0,0.0,393,0.6952,0.2917,0.477,True,True
Czech Republic,Adam Hložek,F M S,Hoffenheim,Bundesliga,2,108,0.4081,3.33,13.33,1.67,3.33,21.67,1890,0.2788,0.1337,0.2456,True,True
Czech Republic,Tomáš Chorý,,,,2,45,1.1025,2.0,18.0,4.0,2.0,22.0,0,,,0.2286,False,True
Czech Republic,Václav Černý,,,,1,55,0.919,3.27,55.64,8.18,4.91,9.82,0,,,0.2262,False,True
Czech Republic,Ondřej Lingr,,,,3,92,0.4283,4.89,26.41,5.87,2.93,10.76,0,,,0.1932,False,True
Czech Republic,Tomáš Souček,M S,West Ham,EPL,3,285,0.0585,0.63,27.79,9.79,1.26,15.79,2586,0.2808,0.033,0.1919,True,False
Czech Republic,Petr Ševčík,,,,2,28,0.3618,3.21,83.57,28.93,6.43,9.64,0,,,0.1612,False,True
Czech Republic,Matěj Jurásek,,,,2,52,0.1709,6.92,46.73,13.85,8.65,12.12,0,,,0.152,False,True
Czech Republic,Vitezslav Jaros,,,,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0.1497,False,True
Czech Republic,Pavel Šulc,,,,1,79,0.069,1.14,17.09,1.14,1.14,21.65,0,,,0.1389,False,True
Czech Republic,Mojmír Chytil,,,,3,116,0.0827,1.55,10.86,3.88,2.33,13.19,0,,,0.1373,False,True
Czech Republic,Antonín Barák,,,,3,49,0.0,0.0,45.92,9.18,1.84,31.22,0,,,0.1366,False,True
Czech Republic,Jan Kuchta,,,,2,100,0.0,0.0,11.7,4.5,1.8,12.6,0,,,0.125,False,True
Czech Republic,Ladislav Krejčí,D S,Girona,La_liga,3,276,0.0644,1.63,45.33,19.89,5.54,9.13,2436,0.0621,0.0122,0.063,True,False
Czech Republic,David Jurásek,D M S,Hoffenheim,Bundesliga,2,160,0.0799,2.25,42.19,13.5,2.81,13.5,604,0.0138,0.1918,0.0615,True,True
Czech Republic,Matěj Kovář,GK,Bayer Leverkusen,Bundesliga,1,39,0.0,0.0,41.54,41.54,20.77,0.0,450,0.0,0.0,0.0557,True,True
Czech Republic,David Doudera,GK,Getafe,La_liga,1,90,0.0,0.0,27.0,16.0,6.0,16.0,3420,0.0,0.0,0.0508,True,True
Czech Republic,Robin Hranáč,D S,Hoffenheim,Bundesliga,3,281,0.108,0.64,29.47,13.77,3.2,10.57,225,0.0,0.0,0.0432,True,False
Czech Republic,Lukáš Provod,,,,3,234,0.0373,1.15,33.85,9.23,5.38,14.62,0,,,0.0373,False,False
Czech Republic,Vladimír Coufal,D M S,West Ham,EPL,3,282,0.0,0.0,47.87,15.0,5.11,10.21,1052,0.0277,0.0495,0.0166,True,False
Czech Republic,Tomáš Holeš,,,,3,274,0.0063,0.33,37.77,20.69,2.3,12.48,0,,,0.0063,False,False
Czech Republic,Jindřich Staněk,,,,3,235,0.0,0.0,28.34,22.6,1.53,0.0,0,,,0.0,False,False
Denmark,Yussuf Yurary Poulsen,F M S,RasenBallsport Leipzig,Bundesliga,4,67,0.0,0.0,26.87,8.06,2.69,33.58,329,0.7631,0.286,0.5108,True,True
Denmark,Alexander Hartmann Bah,F,Newcastle United,EPL,6,338,0.0792,1.07,57.25,18.64,3.2,14.64,2822,0.713,0.1738,0.4595,True,False
Denmark,Jacob Bruun Larsen,F M S,"Hoffenheim,VfB Stuttgart",Bundesliga,1,13,0.0,0.0,41.54,13.85,6.92,13.85,767,0.3945,0.2239,0.2952,True,True
Denmark,Rasmus Winther Højlund,F S,Manchester United,EPL,4,288,0.345,1.88,16.88,1.88,0.62,25.31,2032,0.2598,0.0949,0.2939,True,False
Denmark,Andreas Evald Cornelius,,,,3,100,0.7214,4.5,28.8,1.8,0.9,16.2,0,,,0.2452,False,True
Denmark,Jonas Older Wind,F M S,Wolfsburg,Bundesliga,4,201,0.1715,2.24,34.48,2.69,0.45,7.61,1966,0.2902,0.2181,0.2427,True,False
Denmark,Kasper Dolberg,,,,5,167,0.2759,2.16,15.09,1.62,0.54,25.33,0,,,0.1815,False,True
Denmark,Robert Skov,D M S,Union Berlin,Bundesliga,1,25,0.0,0.0,75.6,14.4,7.2,7.2,866,0.1867,0.3078,0.1692,True,True
Denmark,Christian Nørgaard,M,Brentford,EPL,4,56,0.0,0.0,91.61,25.71,1.61,12.86,2870,0.1811,0.0601,0.1626,True,True
Denmark,Martin Braithwaite Christensen,,,,2,106,0.202,0.85,16.13,1.7,0.85,12.74,0,,,0.1591,False,True
Denmark,Jesper Lindstrøm,M S,Everton,EPL,3,209,0.1439,1.29,23.25,5.17,4.31,15.93,1279,0.142,0.2028,0.1428,True,False
Denmark,Andreas Skov Olsen,D F M S,Wolfsburg,Bundesliga,5,260,0.1217,1.73,35.31,6.92,5.19,11.77,526,0.1479,0.4298,0.1374,True,False
Denmark,Simon Thorup Kjær,,,,1,63,0.0,0.0,78.57,35.71,10.0,5.71,0,,,0.1332,False,True
Denmark,Christian Dannemann Eriksen,M S,Manchester United,EPL,7,647,0.1376,2.23,62.87,15.02,3.76,10.85,1043,0.1149,0.2795,0.124,True,False
Denmark,Pierre-Emile Højbjerg,D M,Marseille,Ligue_1,7,642,0.0354,1.26,73.18,25.23,3.64,14.58,2670,0.1048,0.1176,0.077,True,False
Denmark,Joakim Mæhle,D M S,Wolfsburg,Bundesliga,7,559,0.0217,0.48,49.27,12.4,4.03,11.43,2187,0.1128,0.0911,0.0764,True,False
Denmark,Mathias Jensen,M S,Brentford,EPL,2,90,0.0483,2.0,68.0,20.0,3.0,10.0,819,0.0296,0.2184,0.0716,True,True
Denmark,Mikkel Damsgaard,F M S,Brentford,EPL,4,194,0.0081,0.46,40.36,15.31,3.71,16.24,2978,0.1051,0.2794,0.0663,True,False
Denmark,Rasmus Nissen Kristensen,D M S,Eintracht Frankfurt,Bundesliga,3,235,0.0,0.0,68.17,27.19,4.6,8.81,2520,0.1075,0.1595,0.0645,True,False
Denmark,Andreas Christensen,D S,Barcelona,La_liga,7,639,0.1255,0.85,68.17,21.83,3.38,4.51,239,0.0125,0.0151,0.0577,True,False
Denmark,Morten Hjulmand,,,,3,247,0.0524,1.82,78.34,17.85,2.19,14.57,0,,,0.0524,False,False
Denmark,Victor Bernth Kristansen,D M S,Leicester,EPL,4,164,0.0275,0.55,51.04,10.43,4.39,17.56,2510,0.0057,0.0597,0.0513,True,True
Denmark,Victor Nelsson,D S,Manchester United,EPL,1,97,0.0,0.0,66.8,25.05,8.35,6.49,679,0.0,0.0162,0.0503,True,True
Denmark,Thomas Delaney,GK,Holstein Kiel,Bundesliga,4,134,0.0,0.0,45.0,15.45,2.01,16.12,810,0.0,0.0,0.0473,True,True
Denmark,Joachim Andersen,D,"Crystal Palace,Fulham",EPL,7,660,0.0394,0.95,73.5,29.86,6.82,9.82,2678,0.0298,0.0094,0.0336,True,False
Denmark,Jannik Vestergaard,D S,Leicester,EPL,4,369,0.0545,0.98,64.88,23.17,4.15,5.85,1411,0.0071,0.0046,0.0261,True,False
Denmark,Kasper Schmeichel,,,,7,644,0.0,0.0,27.95,19.15,0.98,0.0,0,,,0.0,False,False
Ecuador,Enner Remberto Valencia Lastra,,,,6,457,0.5541,2.56,14.97,2.17,3.94,13.59,0,,,0.5541,False,False
Ecuador,Ray Kendry Páez Andrade,F S,Le Havre,Ligue_1,4,306,0.4882,3.24,30.59,10.59,2.35,25.59,1452,0.2956,0.0114,0.3726,True,False
Ecuador,Jordy Josué Caicedo Medina,,,,4,59,1.5013,4.58,10.68,1.53,0.0,3.05,0,,,0.2926,False,True
Ecuador,Alan Steve Minda García,F M S,Rayo Vallecano,La_liga,4,117,0.9385,1.54,11.54,2.31,5.38,6.92,2581,0.2628,0.2003,0.2775,True,True
Ecuador,Ángel Israel Mena Delgado,,,,2,62,1.213,2.9,18.87,7.26,2.9,2.9,0,,,0.2673,False,True
Ecuador,John Yeboah Zamora,,,,3,142,0.5645,2.54,12.04,1.9,6.34,9.51,0,,,0.2417,False,True
Ecuador,Janner Hitcler Corozo Alman,,,,1,1,0.0,0.0,90.0,90.0,0.0,0.0,0,,,0.1497,False,True
